ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.20348494,6.862841138,0.033323676,-2.69167533,-1.703494386,-0.808289028,2.165385596,-0.735161477,-0.604804647,-0.140856462,-0.275959466,-0.795697501,-0.076812388,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.684777529,-0.086755992,-1.177442978,-0.426790578,-0.242273972,-0.377121875,1.871181563,-0.148369384,-0.528415071,-0.527630756,-0.275959466,-0.536524117,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.68559,-0.086755992,0.213199939,-0.114244786,-0.497059199,-0.131215297,-0.660002408,-0.560740936,-0.577243282,-0.515204498,-0.275959466,-0.668466023,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.197952017,-0.086755992,0.058375312,-0.177669944,0.008761306,0.361486691,-0.638746595,-0.749569108,-0.573619278,-0.354739955,-0.275959466,-0.627907185,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.816551866,-0.086755992,-0.217640248,-0.070160664,-0.107923402,-0.012325527,-0.593462473,-0.726767467,-0.593867917,-0.573727232,-0.275959466,-0.389758418,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.206604436,-0.086755992,-1.508839813,-0.109066989,-1.046458607,-0.044353865,-0.218478161,-0.503122794,-0.476102265,0.207767717,-0.275959466,-1.084571589,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.657815526,-0.086755992,0.871183816,-0.041562257,-0.522651983,-0.030520029,-1.445569338,-0.484184609,-0.439741083,-0.497979535,-0.124489014,-0.370523667,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.875198101,0.003392084,-1.607772927,0.517649756,-1.132742489,-0.677118842,-0.398392407,-0.729398425,-0.581093458,-0.745679911,-0.275959466,-0.601806469,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.908307387,-0.086755992,-0.950305617,0.127458466,-0.405975468,-0.704704599,-0.832931052,-0.597825011,-0.621718745,-0.675335832,-0.275959466,-0.663234788,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.311225417,-0.086755992,0.127008928,-0.18993196,-0.609177374,-0.523762156,-0.251890807,0.080969054,-0.422655586,-0.533210413,-0.275959466,-0.222120954,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
